零件名称,Assembly_Final
Working BOM,"as of July 22, 2025 at 9:51:32 AM UTC"
输出者,laterzxhp@outlook.com
输出时间,09:51 2025年7月22日

,零件编号,零件名称,Revision/Version,说明,项目编号,生命周期,修订,状态,数量,Material,变更单,Unit of Measure
,2025-07-19-13-56-54-104,Assembly_Final,,,,,,Working,1,,,
1,2025-07-19-13-56-54-129,GripperV3 v12,,,,,,Working,1,,,
1.1,2025-07-19-13-56-54-153,bearinghousing,,,,,,Working,1,,,
1.1.1,2025-07-19-13-56-54-157,lm6uu_housing,,,,,,Working,1,Steel,,
1.1.2,2025-07-19-13-56-54-154,lm8uu_housing,,,,,,Working,2,,,
1.1.2.1,2025-07-19-13-56-54-155,Lm8uu v1,,,,,,Working,1,Steel,,
1.1.2.2,2025-07-19-13-56-54-156,Lm8uu v1 (1),,,,,,Working,1,Steel,,
1.2,2025-07-19-13-56-54-158,mountingblocks,,,,,,Working,1,,,
1.2.1,2025-07-19-13-56-54-159,mountingblock (1),,,,,,Working,4,Steel,,
1.3,2025-07-19-13-56-54-137,components,,,,,,Working,1,,,
1.3.1,2025-07-19-13-56-54-138,lm6uuhousing,,,,,,Working,2,,,
1.3.1.1,2025-07-19-13-56-54-143,gripper_fingure,,,,,,Working,1,Steel,,
1.3.1.2,2025-07-19-13-56-54-141,lm6uu v1 (1),,,,,,Working,1,,,
1.3.1.2.1,2025-07-19-13-56-54-142,lm6uu (1),,,,,,Working,1,Steel,,
1.3.1.3,2025-07-19-13-56-54-144,gripper_fingure(Mirror),,,,,,Working,1,Steel,,
1.3.1.4,2025-07-19-13-56-54-139,lm6uu v1,,,,,,Working,1,,,
1.3.1.4.1,2025-07-19-13-56-54-140,lm6uu,,,,,,Working,1,Steel,,
1.3.2,2025-07-19-13-56-54-145,ReadyMade,,,,,,Working,1,,,
1.3.2.1,2025-07-19-13-56-54-147,M3x10Bolt,,,,,,Working,2,Steel,,
1.3.2.2,2025-07-19-13-56-54-149,MG996R v1,,,,,,Working,1,Steel,,
1.3.2.3,2025-07-19-13-56-54-146,servohorncircular,,,,,,Working,1,Steel,,
1.3.2.4,2025-07-19-13-56-54-148,linearrail,,,,,,Working,2,Steel,,
1.4,2025-07-19-13-56-54-130,housing,,,,,,Working,1,,,
1.4.1,2025-07-19-13-56-54-133,roof,,,,,,Working,1,Steel,,
1.4.2,2025-07-19-13-56-54-132,sidebracket,,,,,,Working,2,Steel,,
1.4.3,2025-07-19-13-56-54-134,Fabrication,,,,,,Working,1,,,
1.4.3.1,2025-07-19-13-56-54-135,sideplatefab,,,,,,Working,1,Steel,,
1.4.4,2025-07-19-13-56-54-136,sideplate6mm (1),,,,,,Working,2,Steel,,
1.4.5,2025-07-19-13-56-54-131,backplate,,,,,,Working,1,Steel,,
1.5,2025-07-19-13-56-54-150,linkage,,,,,,Working,1,,,
1.5.1,2025-07-19-13-56-54-152,link1,,,,,,Working,1,Steel,,
1.5.2,2025-07-19-13-56-54-151,link2,,,,,,Working,2,Steel,,
2,2025-07-19-13-56-54-160,Belts,,,,,,Working,1,,,
2.1,2025-07-19-13-56-54-163,A_Belt,,,,,,Working,1,Steel,,
2.2,2025-07-19-13-56-54-161,C_Belt_1,,,,,,Working,2,Steel,,
2.3,2025-07-19-13-56-54-162,C_Belt_2,,,,,,Working,1,Steel,,
3,2025-07-19-13-56-54-112,Shoulder,,,,,,Working,1,,,
3.1,2025-07-19-13-56-54-117,91310A550_High-Strength Class 10.9 Steel Hex Head Screw,,,,,,Working,1,Steel,,
3.2,2025-07-19-13-54-47-815,GT2 Timing Pulley Pass Through,,,,,,Working,1,Steel,,
3.3,2025-07-19-13-56-54-115,Bearings (1),,,,,,Working,1,,,
3.3.1,2025-07-19-13-51-42-588,ID30_61806-2RS1,,,,,,Working,2,,,
3.3.1.1,2025-07-19-13-51-42-589,SKFBearing30,,,,,,Working,1,Steel,,
3.4,2025-07-19-13-56-54-114,Motors (1),,,,,,Working,1,,,
3.4.1,2025-07-19-13-51-27-035,NEMA_17_Wantai609,,,,,,Working,2,,,
3.4.1.1,2025-07-19-13-51-27-036,Wantai609,,,,,,Working,1,Steel,,
3.5,2025-07-19-13-56-54-118,91423A120_Fine-Thread Medium-Strength Steel Hex Nut,,,,,,Working,1,Steel,,
3.6,2025-07-19-13-51-59-690,GT2 Timing Pulley Hole Conn,,,,,,Working,1,Steel,,
3.7,2025-07-19-13-54-43-032,BearingHousingPassthrough30,,,,,,Working,3,,,
3.7.1,2025-07-19-13-54-43-034,outer_housing,,,,,,Working,1,Steel,,
3.7.2,2025-07-19-13-54-43-033,inner_housing,,,,,,Working,2,Steel,,
3.8,2025-07-19-13-56-54-113,LinearBearingHousings,,,,,,Working,1,,,
3.8.1,2025-07-19-13-54-08-124,LM8UU Housing,,,,,,Working,3,,,
3.8.1.1,2025-07-19-13-54-08-125,LM8UU_Housing,,,,,,Working,1,,,
3.8.1.1.1,2025-07-19-13-54-05-461,Lm8uu,,,,,,Working,2,Steel,,
3.9,2025-07-19-13-56-54-116,Spacers,,,,,,Working,1,,,
3.9.1,2025-07-19-13-56-14-515,standoff_48,,,,,,Working,4,Steel,,
3.10,2025-07-19-13-51-47-708,ShoulderBase,,,,,,Working,2,,,
3.10.1,2025-07-19-13-51-47-709,ShoulderBase,,,,,,Working,1,Steel,,
3.11,2025-07-19-13-51-42-588,ID30_61806-2RS1,,,,,,Working,1,,,
3.11.1,2025-07-19-13-51-42-589,SKFBearing30,,,,,,Working,1,Steel,,
3.12,2025-07-19-13-53-57-894,ShoulderFrame,,,,,,Working,2,,,
3.12.1,2025-07-19-13-53-57-895,ShoulderFrame,,,,,,Working,1,Steel,,
4,2025-07-19-13-56-54-119,Forearm,,,,,,Working,1,,,
4.1,2025-07-19-13-51-59-690,GT2 Timing Pulley Hole Conn,,,,,,Working,2,Steel,,
4.2,2025-07-19-13-56-54-120,Forearm v40,,,,,,Working,1,,,
4.2.1,2025-07-19-13-56-54-123,"LowerForearm2_outside_bearing_0,5",,,,,,Working,1,Steel,,
4.2.2,2025-07-19-13-56-54-122,UpperForearm2,,,,,,Working,1,Steel,,
4.2.3,2025-07-19-13-56-54-121,walls,,,,,,Working,1,(Various),,
4.3,2025-07-19-13-56-54-128,Bearings (2),,,,,,Working,1,,,
4.3.1,2025-07-19-13-51-42-588,ID30_61806-2RS1,,,,,,Working,1,,,
4.3.1.1,2025-07-19-13-51-42-589,SKFBearing30,,,,,,Working,1,Steel,,
4.4,2025-07-19-13-56-54-125,BearingHousingPassthrough30 v10,,,,,,Working,1,,,
4.4.1,2025-07-19-13-56-54-127,outer_housing,,,,,,Working,1,Steel,,
4.4.2,2025-07-19-13-56-54-126,inner_housing,,,,,,Working,2,Steel,,
4.5,2025-07-19-13-56-02-635,Micro Switch,,,,,,Working,1,Steel,,
4.6,2025-07-19-13-54-43-032,BearingHousingPassthrough30,,,,,,Working,1,,,
4.6.1,2025-07-19-13-54-43-034,outer_housing,,,,,,Working,1,Steel,,
4.6.2,2025-07-19-13-54-43-033,inner_housing,,,,,,Working,2,Steel,,
4.7,2025-07-19-13-56-54-124,Standoffs,,,,,,Working,1,,,
4.7.1,2025-07-19-13-52-14-486,standoff_30,,,,,,Working,4,Steel,,
5,2025-07-19-13-56-54-106,Base,,,,,,Working,1,,,
5.1,2025-07-19-13-56-02-635,Micro Switch,,,,,,Working,1,Steel,,
5.2,2025-07-19-13-53-16-988,Lead screw 300,,,,,,Working,1,Generic,,
5.3,2025-07-19-13-52-26-265,MotorBaseBox,,,,,,Working,1,,,
5.3.1,2025-07-19-13-52-26-266,OpenBox,,,,,,Working,1,,,
5.3.1.1,2025-07-19-13-52-26-272,Top,,,,,,Working,1,Steel,,
5.3.1.2,2025-07-19-13-52-26-269,Back,,,,,,Working,1,Steel,,
5.3.1.3,2025-07-19-13-52-26-271,Side2,,,,,,Working,1,Steel,,
5.3.1.4,2025-07-19-13-52-26-267,Bottom,,,,,,Working,1,Steel,,
5.3.1.5,2025-07-19-13-52-26-270,Side1,,,,,,Working,1,Steel,,
5.3.1.6,2025-07-19-13-52-26-268,Front,,,,,,Working,1,Steel,,
5.4,2025-07-19-13-54-14-812,GT2_20T-sh8,,,,,,Working,3,Steel,,
5.5,2025-07-19-13-52-10-967,Floor BaseGT2 Timing Pulley v2,,,,,,Working,1,Steel,,
5.6,2025-07-19-13-56-54-108,Bearings,,,,,,Working,1,,,
5.6.1,2025-07-19-13-54-38-251,ID80_61816-2RS1,,,,,,Working,1,,,
5.6.1.1,2025-07-19-13-54-38-252,SKFBearing80,,,,,,Working,1,Steel,,
5.7,2025-07-19-13-54-43-360,Bearing Housing 80,,,,,,Working,1,,,
5.7.1,2025-07-19-13-54-43-362,HousingOuter,,,,,,Working,1,Steel,,
5.7.2,2025-07-19-13-54-43-363,HousingInner,,,,,,Working,2,Steel,,
5.7.3,2025-07-19-13-54-43-361,HousingOuterStdmountHoles,,,,,,Working,1,Steel,,
5.8,2025-07-19-13-56-02-660,ZEndStopClamp,,,,,,Working,1,,,
5.8.1,2025-07-19-13-56-02-635,Micro Switch,,,,,,Working,1,Steel,,
5.8.2,2025-07-19-13-56-02-661,EndStopClamp,,,,,,Working,1,Steel,,
5.9,2025-07-19-13-56-54-111,TopClamp,,,,,,Working,1,Steel,,
5.10,2025-07-19-13-56-54-110,Guide Rails,,,,,,Working,1,,,
5.10.1,2025-07-19-13-54-34-046,300mm Smooth Rod,,,,,,Working,3,Steel,,
5.11,2025-07-19-13-56-54-109,Clamps,,,,,,Working,1,,,
5.11.1,2025-07-19-13-51-26-368,SmoothRod_Clamp,,,,,,Working,3,Steel,,
5.12,2025-07-19-13-56-54-107,Motors,,,,,,Working,1,,,
5.12.1,2025-07-19-13-51-27-035,NEMA_17_Wantai609,,,,,,Working,2,,,
5.12.1.1,2025-07-19-13-51-27-036,Wantai609,,,,,,Working,1,Steel,,
5.13,2025-07-19-13-52-20-221,Trapezoidal lead screw Nut tr8x8-4,,,,,,Working,1,"solidworks materials|Латунь",,
5.14,2025-07-19-13-51-35-995,L30xD25 CouplerASM 8to8,,,,,,Working,1,,,
5.14.1,2025-07-19-13-51-35-999,M3x12_Screw,,,,,,Working,2,Steel,,
5.14.2,2025-07-19-13-51-35-997,Coupler_B,,,,,,Working,1,Steel,,
5.14.3,2025-07-19-13-51-35-998,Dampener,,,,,,Working,1,Steel,,
5.14.4,2025-07-19-13-51-35-996,Coupler_A,,,,,,Working,1,Steel,,
5.15,2025-07-19-13-51-20-786,SmoothRod_Extra_Long_Clamp,,,,,,Working,1,,,
5.15.1,2025-07-19-13-51-20-787,Limit Switch Panel,,,,,,Working,1,Steel,,
